Source,Target,Type,Weight
Student_015,Student_035,Undirected,116
Student_020,Student_037,Undirected,58
Student_008,Student_049,Undirected,57
Student_009,Student_023,Undirected,53
Student_002,Student_023,Undirected,65
Student_009,Student_020,Undirected,54
Student_030,Student_035,Undirected,47
Student_002,Student_009,Undirected,49
Student_002,Student_037,Undirected,57
Student_015,Student_050,Undirected,52
Student_008,Student_020,Undirected,47
Student_020,Student_023,Undirected,52
Student_038,Student_043,Undirected,64
Student_023,Student_045,Undirected,53
Student_013,Student_020,Undirected,57
Student_020,Student_025,Undirected,42
Student_008,Student_023,Undirected,41
Student_009,Student_031,Undirected,43
Student_008,Student_009,Undirected,32
Student_021,Student_022,Undirected,57
Student_024,Student_047,Undirected,47
Student_016,Student_020,Undirected,44
Student_013,Student_045,Undirected,47
Student_008,Student_037,Undirected,38
Student_002,Student_045,Undirected,37
Student_042,Student_043,Undirected,48
Student_013,Student_023,Undirected,36
Student_002,Student_049,Undirected,59
Student_009,Student_037,Undirected,37
Student_024,Student_045,Undirected,52
Student_016,Student_031,Undirected,30
Student_008,Student_016,Undirected,36
Student_002,Student_046,Undirected,54
Student_023,Student_037,Undirected,40
Student_020,Student_031,Undirected,31
Student_009,Student_049,Undirected,39
Student_002,Student_020,Undirected,38
Student_042,Student_045,Undirected,34
Student_030,Student_044,Undirected,62
Student_011,Student_022,Undirected,40
Student_032,Student_050,Undirected,26
Student_008,Student_024,Undirected,31
Student_020,Student_024,Undirected,32
Student_023,Student_024,Undirected,42
Student_011,Student_021,Undirected,40
Student_009,Student_024,Undirected,27
Student_015,Student_030,Undirected,38
Student_002,Student_016,Undirected,39
Student_023,Student_047,Undirected,34
Student_029,Student_048,Undirected,43
Student_002,Student_029,Undirected,29
Student_043,Student_048,Undirected,42
Student_037,Student_049,Undirected,29
Student_042,Student_047,Undirected,27
Student_002,Student_042,Undirected,36
Student_009,Student_025,Undirected,26
Student_047,Student_048,Undirected,37
Student_009,Student_013,Undirected,31
Student_029,Student_043,Undirected,35
